name,source_rva,ported_rva,confidence,method,note
ACTOR_ATOMIC_TELEPORT_RVA,0x00C60BE0,,none,,manual RE
ACTOR_COMBAT_ORCHESTRATOR_RVA,0x00CCFDF0,,none,,manual RE
ACTOR_DISPATCH_ATTACK_ACTION_RVA,0x00E6F830,,none,,manual RE
ACTOR_HIT_APPLIER_RVA,0x00CD2780,,none,,manual RE
ACTOR_HP_FUNNEL_RVA,0x00CC9650,,none,,manual RE
ACTOR_SETPOS_VT202_RVA,0x00C60630,,none,,manual RE
ACTOR_UPDATE_PERFRAME_RVA,0x00C636A0,,none,,manual RE
ADD_COMBAT_TARGET_RVA,0x00E91D70,,none,,manual RE
AIM_SET_TARGET_RVA,0x00E65820,,none,,manual RE
AIPROCESS_SET_COMBAT_TARGET_RVA,0x0087AB30,,none,,manual RE
ALIVE_COUNTER_RVA,0x00E9E650,,none,,manual RE
ANIMS_AND_EFFECTS_THUNK_RVA,0x00BD5300,,none,,manual RE
ANIM_GRAPH_FLUSH_RVA,0x01695CF0,,none,,manual RE
BGS_INV_LIST_MATERIALIZE_RVA,0x00511F10,,none,,manual RE
BHK_CHAR_FINISH_STEP_RVA,0x018B9790,,none,,manual RE
BSFIXEDSTRING_MAKE_RVA,0x0167BDC0,,none,,manual RE
CELL_ATTACH_JOBS_THUNK_RVA,0x00BD62A0,,none,,manual RE
COMBATCTRL_ADD_TARGET_RVA,0x00E91D70,,none,,manual RE
COMBATCTRL_AGGRO_FRESHNESS_RVA,0x00E9EC40,,none,,manual RE
COMBATCTRL_ALLY_HEALTH_RVA,0x00E97D30,,none,,manual RE
COMBATCTRL_ALLY_VALIDITY1_RVA,0x00E9E870,,none,,manual RE
COMBATCTRL_ALLY_VALIDITY2_RVA,0x00E9EA40,,none,,manual RE
COMBATCTRL_COUNT_ENTRIES_RVA,0x00E9E760,,none,,manual RE
COMBATCTRL_ENSURE_KNOWN_RVA,0x00E929C0,,none,,manual RE
COMBATCTRL_FIND_BY_ACTOR_RVA,0x00E986C0,,none,,manual RE
COMBATCTRL_FIND_BY_FID_RVA,0x00E98760,,none,,manual RE
COMBATCTRL_FIND_ENTRY_RVA,0x00E98820,,none,,manual RE
COMBATCTRL_FIND_IN_RANGE_RVA,0x00E96490,,none,,manual RE
COMBATCTRL_GROUP_GATE_RVA,0x00E924A0,,none,,manual RE
COMBATCTRL_GROUP_RECONCILE_RVA,0x00ED2490,,none,,manual RE
COMBATCTRL_HOUSEKEEPING_RVA,0x00E988A0,,none,,manual RE
COMBATCTRL_KNOWN_BY_ACTOR_RVA,0x00E92E50,,none,,manual RE
COMBATCTRL_NOTIFY_SUBS_RVA,0x00E98480,,none,,manual RE
COMBATCTRL_PROCESS_TICK_RVA,0x00E918C0,,none,,manual RE
COMBATCTRL_REMOVE_ALLY_BY_IDX_RVA,0x00E9E0C0,,none,,manual RE
COMBATCTRL_REMOVE_ALLY_BY_KEY_RVA,0x00E92D00,,none,,manual RE
COMBATCTRL_REMOVE_BY_FID_RVA,0x00E92260,,none,,manual RE
COMBATCTRL_TIER1_E97D30_RVA,0x00E97D30,,none,,manual RE
COMBATCTRL_TIER1_E98480_RVA,0x00E98480,,none,,manual RE
COMBATCTRL_TIER1_E9D710_RVA,0x00E9D710,,none,,manual RE
COMBATCTRL_UPDATE_POS_RVA,0x00E92B90,,none,,manual RE
COMBATCTRL_UPDATE_TARGET_REC_RVA,0x00E959E0,,none,,manual RE
COMBAT_AIM_CONTROLLER_CTOR_RVA,0x00E653D0,,none,,manual RE
COMBAT_ENGAGE_GATE_RVA,0x00CF6100,,none,,manual RE
COMBAT_GUNFIRE_DECIDE_RVA,0x0086FCA0,,none,,manual RE
COMBAT_PROMOTER_FRESH_RVA,0x00ED2390,,none,,manual RE
CONTAINER_MENU_TRANSFER_ITEM_RVA,0x0103E950,,none,,manual RE
DEATH_BROADCAST_WALKER_RVA,0x00C80D70,,none,,manual RE
ENGINE_ADD_ITEM_RVA,0x011735A0,,none,,manual RE
ENGINE_ENABLE_AI_RVA,0x00C76590,,none,,manual RE
ENGINE_EQUIP_OBJECT_RVA,0x00CE5900,,none,,manual RE
ENGINE_FORCE_LOCK_RVA,0x00563360,0x0047FFE0,propagated,propagated,
ENGINE_FORCE_UNLOCK_RVA,0x00563320,,none,,manual RE
ENGINE_HEAP_ALLOC_RVA,0x016579C0,0x01B0EE10,exact,exact,
ENGINE_LOCK_PAPYRUS_APPLY_RVA,0x01158640,,none,,manual RE
ENGINE_REMOVE_ITEM_RVA,0x011825A0,,none,,manual RE
ENGINE_UNEQUIP_OBJECT_RVA,0x00CE5DA0,,none,,manual RE
ENTER_COMBAT_RVA,0x00CCF810,,none,,manual RE
FIXED_SELECTOR_CTOR_RVA,0x00EE9780,,none,,manual RE
FOOT_IK_THUNK_RVA,0x00BD5720,,none,,manual RE
FORM_TABLE_REHYDRATOR_RVA,0x00C06AC0,,none,,manual RE
HANDLE_GET_OR_ALLOC_RVA,0x0022C8B0,0x000229C0,propagated,propagated,
HOSTILITY_CORE_RVA,0x00C8DFF0,0x00DA2FB0,propagated,propagated,
INVLIST_MUTEX_LOCK_RVA,0x01658FE0,,none,propagated,REJECTED: target claimed by multiple sources
INVLIST_MUTEX_UNLOCK_RVA,0x016592B0,,none,,manual RE
KILL_ENGINE_RVA,0x00C612E0,,none,,manual RE
LOAD_GAME_FN_RVA,0x00BF93B0,0x00CED400,strong,strong,
LOAD_PRECOND_FN_RVA,0x01084830,,none,,manual RE
LOAD_PREP_FN_RVA,0x00C37200,,none,,manual RE
LOCK_PRIMITIVE_GUARD_RVA,0x01658FE0,,none,propagated,REJECTED: target claimed by multiple sources
LOCK_RELEASE_WRITE_RVA,0x016592C0,,none,,manual RE
LOOKUP_BY_FORMID_RVA,0x00311850,,none,,manual RE
LOS_SIGHT_CONE_WALKER_RVA,0x00DA28A0,,none,,manual RE
MAIN_MENU_REGISTRAR_RVA,0x00B01290,0x00BBC050,exact,exact,
MEMMGR_ALLOC_RVA,0x016579C0,0x01B0EE10,exact,exact,
MEMMGR_LAZY_INIT_RVA,0x01657F90,,none,propagated,REJECTED: target claimed by multiple sources
MOVCTRL_SET_DISABLED_RVA,0x00DC80B0,,none,,manual RE
MOVEMENT_TICK_RVA,0x00C65E20,,none,,manual RE
NIAV_SET_MOTION_TYPE_RVA,0x018763E0,0x01D70D60,propagated,propagated,
PAPYRUS_GLOBALVAR_SETVALUE_RVA,0x013F0A40,,none,,manual RE 1.10.163 LEA scan 2026-08-03
PAPYRUS_QUEST_SETSTAGE_RVA,0x01449550,,none,,manual RE 1.10.163 LEA scan 2026-08-03
PER_ACTOR_RENDER_RVA,0x021BBD20,,none,,manual RE
PKG_EVAL_CONDITIONS_RVA,0x00768CC0,,none,,manual RE
PLACE_AT_ME_RVA,0x01159C10,,none,,manual RE
PLAYER_CTOR_RVA,0x00D52350,,none,,manual RE
PLAYER_PICKUP_RVA,0x00D62930,,none,,manual RE
POST_PICK_GATE_RVA,0x0087A900,,none,,manual RE
PROCESSLISTS_ADD_ACTOR_RVA,0x00DAF6D0,,none,,manual RE
PUPPET_ACTOR_IS_LOADED3D_RVA,0x00516FB0,,none,,manual RE
PUPPET_AIPROC_POST_EXTRA_RVA,0x00CF2290,,none,,manual RE
PUPPET_ANIM_DISPATCH_DELTA_RVA,0x00CEEBD0,,none,,manual RE
