tier,value,name,source,comment,ported_addr,verified
FIELD,0x7A,VT_ADD_TO_CONTAINER_SLOT,offsets.h,,,
FIELD,0x14,FORMID_OFF,offsets.h,// TESForm::formID      (u32),0x14,commonlib
FIELD,0x10,FLAGS_OFF,offsets.h,// TESForm::flags       (u32),0x10,commonlib
FIELD,0xC0,ROT_OFF,offsets.h,"// AngleX/Y/Z, radians  (3x f32)",0xC0,commonlib
FIELD,0xD0,POS_OFF,offsets.h,// X/Y/Z                (3x f32),0xD0,commonlib
FIELD,0xB8,PARENT_CELL_OFF,offsets.h,// TESObjectCELL*,0xB8,commonlib
FIELD,0xE0,BASE_FORM_OFF,offsets.h,// TESForm* (baseForm),0xE0,commonlib
FIELD,0xF8,REFR_INV_LIST_OFF,offsets.h,// REFR → BGSInventoryList*,0xF8,commonlib
FIELD,0x58,INVLIST_ENTRIES_OFF,offsets.h,// list → entries ptr,0x58,commonlib
FIELD,0x68,INVLIST_COUNT_OFF,offsets.h,// list → u32 count,0x68,commonlib
FIELD,0x78,INVLIST_MUTEX_OFF,offsets.h,// BSSimpleMutex-ish,0x78,commonlib
FIELD,0x10,INVENTORY_ITEM_STRIDE,offsets.h,// 16 bytes,0x10,commonlib
FIELD,0x00,INVENTORY_ITEM_OBJ_OFF,offsets.h,// entry → TESBoundObject*,0x00,commonlib
FIELD,0x30,TESGLOBAL_VALUE_OFF,offsets.h,,0x30,commonlib
FIELD,512,CMENU_PLAYER_ARRAY_OFF,offsets.h,// DEPOSIT source,,
FIELD,528,CMENU_PLAYER_COUNT_OFF,offsets.h,,,
FIELD,536,CMENU_PLAYER_FLAG_OFF,offsets.h,,,
FIELD,640,CMENU_CONTAINER_ARRAY_OFF,offsets.h,// WITHDRAW source,,
FIELD,656,CMENU_CONTAINER_COUNT_OFF,offsets.h,,,
FIELD,664,CMENU_CONTAINER_FLAG_OFF,offsets.h,,,
FIELD,1064,CMENU_CONTAINER_HANDLE_OFF,offsets.h,// BGSObjectRefHandle,,
FIELD,32,CMENU_ENTRY_STRIDE,offsets.h,// bytes per entry,,
FIELD,0x10,LOCK_DATA_FLAGS_OFF,offsets.h,,,
FIELD,0x70,NI_AV_WORLD_ROTATE_OFF,offsets.h,// NiMatrix3 (0x30 B),0x70,commonlib
